"confirmed","country_region","deaths","lat","long","province_state","recovered","timestamp"
35862,"Zimbabwe",1441,"","","null","32216",1613995200
75027,"Zambia",1031,"","","null","68928",1613995200
2176,"Yemen",619,"","","null","1432",1613995200
174969,"West Bank and Gaza",1986,"","","null","162025",1613995200
2392,"Vietnam",35,"","","null","1717",1613995200
136545,"Venezuela",1320,"","","null","128579",1613995200
79681,"Uzbekistan",622,"","","null","78171",1613995200
53310,"Uruguay",583,"","","null","46845",1613995200
4126150,"United Kingdom",120757,"","","null","0",1613995200
2029,"United Kingdom",14,"","","Turks and Caicos Islands","1721",1613995200
456,"United Kingdom",25,"","","Isle of Man","409",1613995200
4232,"United Kingdom",91,"","","Gibraltar","4103",1613995200
4030,"United Kingdom",85,"","","Channel Islands","3858",1613995200
431,"United Kingdom",2,"","","Cayman Islands","403",1613995200
372530,"United Arab Emirates",1140,"","","null","363052",1613995200
1354545,"Ukraine",26531,"","","null","1188859",1613995200
40221,"Uganda",333,"","","null","14608",1613995200
28188571,"US",500244,"","","null","0",1613995200
2646526,"Turkey",28138,"","","null","2529450",1613995200
228937,"Tunisia",7811,"","","null","189358",1613995200
7682,"Trinidad and Tobago",139,"","","null","7411",1613995200
6348,"Togo",81,"","","null","5323",1613995200
15230,"Syria",1001,"","","null","9307",1613995200
550224,"Switzerland",9907,"","","null","317600",1613995200
8869,"Suriname",169,"","","null","8349",1613995200
30128,"Sudan",1871,"","","null","22797",1613995200
80517,"Sri Lanka",450,"","","null","75110",1613995200
3153971,"Spain",67636,"","","null","150376",1613995200
6931,"South Sudan",87,"","","null","4014",1613995200
1504588,"South Africa",49150,"","","null","1413566",1613995200
6246,"Somalia",208,"","","null","3778",1613995200
185014,"Slovenia",3784,"","","null","170198",1613995200
292792,"Slovakia",6577,"","","null","255300",1613995200
59879,"Singapore",29,"","","null","59746",1613995200
3857,"Sierra Leone",79,"","","null","2609",1613995200
2464,"Seychelles",11,"","","null","1940",1613995200
439596,"Serbia",4351,"","","null","0",1613995200
33099,"Senegal",814,"","","null","27428",1613995200
375333,"Saudi Arabia",6466,"","","null","366412",1613995200
1628,"Sao Tome and Principe",22,"","","null","1257",1613995200
3494,"San Marino",72,"","","null","3115",1613995200
3135,"Saint Lucia",32,"","","null","2675",1613995200
18199,"Rwanda",252,"","","null","16992",1613995200
4130447,"Russia",82255,"","","null","3684955",1613995200
781329,"Romania",19894,"","","null","725526",1613995200
160889,"Qatar",257,"","","null","150715",1613995200
798074,"Portugal",16023,"","","null","701409",1613995200
1642658,"Poland",42188,"","","null","1384373",1613995200
563456,"Philippines",12094,"","","null","522874",1613995200
152658,"Paraguay",3080,"","","null","127819",1613995200
1056,"Papua New Guinea",10,"","","null","846",1613995200
337087,"Panama",5756,"","","null","321439",1613995200
573384,"Pakistan",12658,"","","null","536243",1613995200
139692,"Oman",1555,"","","null","130653",1613995200
68758,"Norway",608,"","","null","17998",1613995200
99408,"North Macedonia",3076,"","","null","89742",1613995200
